 Year,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Total
2001,8485,30282,10425,14302,2874,4432,33174,5610,22776,3452,12214,26861,16917,13321,13385,18401,1693,9596,3205,19920,2785,274110
2002,8516,30199,11361,14541,3037,4424,33663,6244,22452,3357,12831,27499,17892,14006,14051,18621,1643,9969,3396,20666,2923,281291
2003,8892,30639,11925,15379,3018,4850,31768,6612,21580,3701,13372,27210,18383,14433,14648,18548,1873,10543,3861,20710,2804,284749
2004,9342,29106,11939,15706,3000,5085,30908,6890,20687,3887,13361,27652,18956,14223,14884,18311,1970,10268,3739,20288,3187,283389
2005,9056,28317,11422,15264,3100,4539,29726,7082,19375,3766,12943,26997,18740,13978,14323,18024,1683,10133,3879,19586,3317,275250
2006,8922,26269,11196,14646,2916,4153,24485,6540,18090,3648,12040,26467,17447,13346,13785,17213,1544,9837,3496,18478,3079,257597
2007,9040,28360,11436,15564,2847,4373,22642,6751,19214,3778,12169,27463,17964,14724,14610,16888,1614,10525,3681,18907,3252,265802
2008,8786,27220,10760,14941,2667,4178,27801,6778,18181,3586,11540,26392,17581,13837,14133,16400,1593,10110,3497,17858,3319,261158
2009,8964,26969,11038,15081,2700,4343,25703,7014,17578,3777,11825,25421,17938,13510,14593,16864,1608,10415,3564,17853,3262,260020
2010,8693,28073,11339,14213,2871,3749,25067,6803,18046,3547,11772,25988,17584,13457,14885,16787,1659,10203,3437,17839,3030,259042
2011,7936,27637,10833,13023,2827,3834,23680,6511,18167,3375,12039,25867,16910,13999,13652,16911,1528,10297,3573,17816,3047,253462
2012,8203,25805,10449,12727,2615,3759,23222,5807,17801,3524,10931,24699,16551,13137,13557,16811,1403,10192,3135,16929,2797,244054
2013,7556,26684,11039,13324,2856,4130,23667,5591,17545,3393,11703,24479,17335,13637,14343,16736,1376,10182,3216,17145,2965,248902
2014,7302,27525,11413,12801,2627,4250,25734,5740,18031,3754,11041,25920,16875,14236,14043,16261,1587,10112,2971,18002,2943,253168
2015,7821,28605,11797,12545,2884,4411,27267,7032,19190,3808,12059,26460,17513,14066,14231,17025,1636,10468,3232,19336,3154,264540
2016,7735,29145,12124,13545,2879,4197,28019,7587,20673,3836,12262,27501,18516,14241,14638,17780,1657,10582,3135,20105,3316,273473
2017,7929,28952,11822,15176,2650,4467,29639,7515,19237,3873,10337,27210,17890,14500,14023,18314,1619,10413,3033,20126,3084,271809
2018,7494,29459,12238,15755,2532,3706,30078,7713,19627,4033,10473,28965,18164,14742,14848,19110,1738,10748,3153,20377,3460,278413
2019,8140,29722,11172,14950,2478,3726,30287,7121,19729,3921,11576,28932,17507,14690,14986,17921,1723,10758,3034,21171,3317,276861
